company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,201212,+,-,-,Shareholder Returns
ABB,201403,+,+,+,Cash Accumulator
ABB,201503,-,-,+,Growth Funded by Debt
ABB,201603,+,-,-,Shareholder Returns
ABB,201703,+,-,-,Shareholder Returns
ABB,201803,+,-,+,Mixed
ABB,201903,+,-,+,Mixed
ABB,202003,+,-,+,Mixed
ABB,202103,+,-,-,Shareholder Returns
ABB,202203,+,-,-,Shareholder Returns
ABB,202303,+,-,+,Mixed
ABB,202403,+,-,-,Shareholder Returns
ADANIENSOL,201403,+,+,+,Cash Accumulator
ADANIENSOL,201503,-,-,+,Growth Funded by Debt
ADANIENSOL,201603,+,-,-,Shareholder Returns
ADANIENSOL,201703,+,-,-,Shareholder Returns
ADANIENSOL,201803,+,-,+,Mixed
ADANIENSOL,201903,+,-,+,Mixed
ADANIENSOL,202003,+,-,+,Mixed
ADANIENSOL,202103,+,-,-,Shareholder Returns
ADANIENSOL,202203,+,-,-,Shareholder Returns
ADANIENSOL,202303,+,-,+,Mixed
ADANIENSOL,202403,+,-,-,Shareholder Returns
ADANIENT,201303,+,-,+,Mixed
ADANIENT,201403,+,-,-,Shareholder Returns
ADANIENT,201503,+,-,+,Mixed
ADANIENT,201603,+,-,-,Shareholder Returns
ADANIENT,201703,+,-,+,Mixed
ADANIENT,201803,+,-,+,Mixed
ADANIENT,201903,+,+,-,Liquidating Assets
ADANIENT,202003,+,-,-,Shareholder Returns
ADANIENT,202103,+,-,+,Mixed
ADANIENT,202203,+,-,+,Mixed
ADANIENT,202303,+,-,-,Shareholder Returns
ADANIENT,202403,+,-,+,Mixed
ADANIGREEN,201703,+,-,+,Mixed
ADANIGREEN,201803,+,-,+,Mixed
ADANIGREEN,201903,+,-,+,Mixed
ADANIGREEN,202003,+,-,+,Mixed
ADANIGREEN,202103,+,-,+,Mixed
ADANIGREEN,202203,+,-,+,Mixed
ADANIGREEN,202303,+,-,-,Reinvestor
ADANIGREEN,202403,+,-,+,Mixed
ADANIPORTS,201303,+,-,+,Mixed
ADANIPORTS,201403,+,-,+,Mixed
ADANIPORTS,201503,+,-,-,Shareholder Returns
ADANIPORTS,201603,+,-,+,Mixed
ADANIPORTS,201703,+,-,-,Shareholder Returns
ADANIPORTS,201803,+,-,-,Shareholder Returns
ADANIPORTS,201903,+,-,+,Mixed
ADANIPORTS,202003,+,-,-,Shareholder Returns
ADANIPORTS,202103,+,-,+,Mixed
ADANIPORTS,202203,+,-,-,Shareholder Returns
ADANIPORTS,202303,+,-,-,Shareholder Returns
ADANIPORTS,202403,+,-,-,Shareholder Returns
ADANIPOWER,201303,+,-,+,Mixed
ADANIPOWER,201403,+,-,+,Mixed
ADANIPOWER,201503,+,-,-,Shareholder Returns
ADANIPOWER,201603,+,-,-,Shareholder Returns
ADANIPOWER,201703,+,-,-,Shareholder Returns
ADANIPOWER,201803,+,-,-,Shareholder Returns
ADANIPOWER,201903,+,-,-,Shareholder Returns
ADANIPOWER,202003,+,-,-,Shareholder Returns
ADANIPOWER,202103,+,-,-,Shareholder Returns
ADANIPOWER,202203,+,+,-,Liquidating Assets
ADANIPOWER,202303,+,+,-,Liquidating Assets
ADANIPOWER,202403,+,+,-,Liquidating Assets
AMBUJACEM,201212,+,-,-,Shareholder Returns
AMBUJACEM,201312,+,-,-,Shareholder Returns
AMBUJACEM,201412,+,-,-,Shareholder Returns
AMBUJACEM,201512,+,-,-,Shareholder Returns
AMBUJACEM,201612,+,-,-,Shareholder Returns
AMBUJACEM,201712,+,-,-,Shareholder Returns
AMBUJACEM,201812,+,-,-,Shareholder Returns
AMBUJACEM,201912,+,-,-,Shareholder Returns
AMBUJACEM,202012,+,-,-,Shareholder Returns
AMBUJACEM,202112,+,-,-,Shareholder Returns
AMBUJACEM,202403,+,-,+,Mixed
APOLLOHOSP,201303,+,-,+,Mixed
APOLLOHOSP,201403,+,-,-,Shareholder Returns
APOLLOHOSP,201503,+,-,+,Mixed
APOLLOHOSP,201603,+,-,+,Mixed
APOLLOHOSP,201703,+,-,+,Mixed
APOLLOHOSP,201803,+,-,-,Shareholder Returns
APOLLOHOSP,201903,+,-,-,Shareholder Returns
APOLLOHOSP,202003,+,-,-,Shareholder Returns
APOLLOHOSP,202103,+,-,-,Shareholder Returns
APOLLOHOSP,202203,+,-,-,Shareholder Returns
APOLLOHOSP,202303,+,-,-,Shareholder Returns
APOLLOHOSP,202403,+,-,-,Shareholder Returns
ASIANPAINT,201303,+,-,-,Reinvestor
ASIANPAINT,201403,+,-,-,Reinvestor
ASIANPAINT,201503,+,-,-,Reinvestor
ASIANPAINT,201603,+,-,-,Reinvestor
ASIANPAINT,201703,+,-,-,Reinvestor
ASIANPAINT,201803,+,-,-,Reinvestor
ASIANPAINT,201903,+,-,-,Reinvestor
ASIANPAINT,202003,+,-,-,Reinvestor
ASIANPAINT,202103,+,-,-,Reinvestor
ASIANPAINT,202203,+,-,-,Reinvestor
ASIANPAINT,202303,+,-,-,Reinvestor
ASIANPAINT,202403,+,-,-,Reinvestor
AXISBANK,201303,+,-,+,Mixed
AXISBANK,201403,+,-,+,Mixed
AXISBANK,201503,-,-,+,Growth Funded by Debt
AXISBANK,201603,-,+,+,Distress Signal
AXISBANK,201703,+,-,-,Shareholder Returns
AXISBANK,201803,-,-,+,Growth Funded by Debt
AXISBANK,201903,+,-,+,Mixed
AXISBANK,202003,+,-,+,Mixed
AXISBANK,202103,+,-,+,Mixed
AXISBANK,202203,+,-,+,Mixed
AXISBANK,202303,+,-,+,Mixed
AXISBANK,202403,-,-,+,Growth Funded by Debt
BAJAJ-AUTO,201303,+,-,-,Reinvestor
BAJAJ-AUTO,201403,+,-,-,Reinvestor
BAJAJ-AUTO,201503,+,-,-,Reinvestor
BAJAJ-AUTO,201603,+,-,-,Reinvestor
BAJAJ-AUTO,201703,+,-,-,Reinvestor
BAJAJ-AUTO,201803,+,-,-,Reinvestor
BAJAJ-AUTO,201903,+,-,-,Reinvestor
BAJAJ-AUTO,202003,+,+,-,Liquidating Assets
BAJAJ-AUTO,202103,+,-,-,Reinvestor
BAJAJ-AUTO,202203,+,+,-,Liquidating Assets
BAJAJ-AUTO,202303,+,+,-,Liquidating Assets
BAJAJ-AUTO,202403,+,-,-,Reinvestor
BAJAJFINSV,201303,-,+,+,Distress Signal
BAJAJFINSV,201403,-,+,+,Distress Signal
BAJAJFINSV,201503,-,+,+,Distress Signal
BAJAJFINSV,201603,-,-,+,Growth Funded by Debt
BAJAJFINSV,201703,-,+,+,Distress Signal
BAJAJFINSV,201803,-,-,+,Growth Funded by Debt
BAJAJFINSV,201903,-,-,+,Growth Funded by Debt
BAJAJFINSV,202003,-,-,+,Growth Funded by Debt
BAJAJFINSV,202103,+,-,+,Mixed
BAJAJFINSV,202203,-,+,+,Distress Signal
BAJAJFINSV,202303,-,-,+,Growth Funded by Debt
BAJAJFINSV,202403,-,-,+,Growth Funded by Debt
BAJAJHLDNG,201303,+,-,-,Reinvestor
BAJAJHLDNG,201403,+,-,-,Reinvestor
BAJAJHLDNG,201503,+,-,-,Reinvestor
BAJAJHLDNG,201603,+,+,-,Liquidating Assets
BAJAJHLDNG,201703,-,-,-,Pre-Revenue
BAJAJHLDNG,201803,+,-,-,Reinvestor
BAJAJHLDNG,201903,+,-,-,Reinvestor
BAJAJHLDNG,202003,+,-,-,Reinvestor
BAJAJHLDNG,202103,+,-,-,Reinvestor
BAJAJHLDNG,202203,+,-,-,Reinvestor
BAJAJHLDNG,202303,+,-,-,Reinvestor
BAJAJHLDNG,202403,+,-,-,Reinvestor
BAJFINANCE,201503,-,-,+,Growth Funded by Debt
BAJFINANCE,201603,-,-,+,Growth Funded by Debt
BAJFINANCE,201703,-,-,+,Growth Funded by Debt
BAJFINANCE,201803,-,+,+,Distress Signal
BAJFINANCE,201903,-,-,+,Growth Funded by Debt
BAJFINANCE,202003,-,-,+,Growth Funded by Debt
BAJFINANCE,202103,-,-,+,Growth Funded by Debt
BAJFINANCE,202203,-,+,+,Distress Signal
BAJFINANCE,202303,-,-,+,Growth Funded by Debt
BAJFINANCE,202403,-,-,+,Growth Funded by Debt
BANKBARODA,201303,+,-,-,Shareholder Returns
BANKBARODA,201403,+,-,+,Mixed
BANKBARODA,201503,+,-,-,Shareholder Returns
BANKBARODA,201603,-,-,-,Pre-Revenue
BANKBARODA,201703,+,-,-,Shareholder Returns
BANKBARODA,201803,-,-,+,Growth Funded by Debt
BANKBARODA,201903,-,-,+,Growth Funded by Debt
BANKBARODA,202003,+,-,+,Mixed
BANKBARODA,202103,-,-,-,Pre-Revenue
BANKBARODA,202203,+,-,-,Shareholder Returns
BANKBARODA,202303,-,-,-,Pre-Revenue
BANKBARODA,202403,-,-,+,Growth Funded by Debt
BEL,201303,-,+,-,Mixed
BEL,201403,-,+,-,Mixed
BEL,201503,+,-,-,Shareholder Returns
BEL,201603,+,-,-,Shareholder Returns
BEL,201703,-,+,-,Mixed
BEL,201803,-,-,-,Pre-Revenue
BEL,201903,+,-,-,Shareholder Returns
BEL,202003,+,-,-,Shareholder Returns
BEL,202103,+,-,-,Shareholder Returns
BEL,202203,+,-,-,Shareholder Returns
BEL,202303,+,+,-,Liquidating Assets
BEL,202403,+,-,-,Shareholder Returns
BHARTIARTL,201303,+,-,-,Shareholder Returns
BHARTIARTL,201403,+,-,+,Mixed
BHARTIARTL,201503,+,-,-,Shareholder Returns
BHARTIARTL,201603,+,-,-,Shareholder Returns
BHARTIARTL,201703,+,-,-,Shareholder Returns
BHARTIARTL,201803,+,-,+,Mixed
BHARTIARTL,201903,+,-,+,Mixed
BHARTIARTL,202003,+,-,+,Mixed
BHARTIARTL,202103,+,-,-,Shareholder Returns
BHARTIARTL,202203,+,-,-,Shareholder Returns
BHARTIARTL,202303,+,-,-,Shareholder Returns
BHARTIARTL,202403,+,-,-,Shareholder Returns
BHEL,201303,+,-,+,Mixed
BHEL,201403,+,-,+,Mixed
BHEL,201503,+,+,-,Liquidating Assets
BHEL,201603,+,+,-,Liquidating Assets
BHEL,201703,+,-,-,Reinvestor
BHEL,201803,+,+,-,Liquidating Assets
BHEL,201903,-,+,-,Mixed
BHEL,202003,-,+,+,Distress Signal
BHEL,202103,+,-,-,Reinvestor
BHEL,202203,+,-,-,Reinvestor
BHEL,202303,-,+,+,Distress Signal
BHEL,202403,-,+,+,Distress Signal
BOSCHLTD,201212,+,-,-,Shareholder Returns
BOSCHLTD,201312,+,-,-,Shareholder Returns
BOSCHLTD,201503,+,-,-,Shareholder Returns
BOSCHLTD,201603,+,-,-,Shareholder Returns
BOSCHLTD,201703,+,+,-,Liquidating Assets
BOSCHLTD,201803,+,-,-,Shareholder Returns
BOSCHLTD,201903,+,+,-,Liquidating Assets
BOSCHLTD,202003,+,-,-,Shareholder Returns
BOSCHLTD,202103,+,-,-,Shareholder Returns
BOSCHLTD,202203,+,-,-,Shareholder Returns
BOSCHLTD,202303,+,+,-,Liquidating Assets
BOSCHLTD,202403,+,+,-,Liquidating Assets
BPCL,201303,+,-,-,Shareholder Returns
BPCL,201403,+,-,-,Shareholder Returns
BPCL,201503,+,-,-,Shareholder Returns
BPCL,201603,+,-,-,Shareholder Returns
BPCL,201703,+,-,+,Mixed
BPCL,201803,+,-,-,Shareholder Returns
BPCL,201903,+,-,+,Mixed
BPCL,202003,+,-,+,Mixed
BPCL,202103,+,-,-,Shareholder Returns
BPCL,202203,+,-,-,Shareholder Returns
BPCL,202303,+,-,-,Shareholder Returns
BPCL,202403,+,-,-,Shareholder Returns
BRITANNIA,201303,+,+,-,Liquidating Assets
BRITANNIA,201403,+,-,-,Shareholder Returns
BRITANNIA,201503,+,-,-,Shareholder Returns
BRITANNIA,201603,+,-,-,Shareholder Returns
BRITANNIA,201703,+,-,-,Shareholder Returns
BRITANNIA,201803,+,-,-,Shareholder Returns
BRITANNIA,201903,+,-,-,Shareholder Returns
BRITANNIA,202003,+,-,+,Mixed
BRITANNIA,202103,+,+,-,Liquidating Assets
BRITANNIA,202203,+,+,-,Liquidating Assets
BRITANNIA,202303,+,-,-,Shareholder Returns
BRITANNIA,202403,+,+,-,Liquidating Assets
CANBK,201303,+,-,-,Shareholder Returns
CANBK,201403,+,-,-,Shareholder Returns
CANBK,201503,+,-,-,Shareholder Returns
CANBK,201603,+,-,-,Shareholder Returns
CANBK,201703,+,-,+,Mixed
CANBK,201803,-,-,+,Growth Funded by Debt
CANBK,201903,+,-,-,Shareholder Returns
CANBK,202003,-,-,+,Growth Funded by Debt
CANBK,202103,+,-,+,Mixed
CANBK,202203,+,-,+,Mixed
CANBK,202303,-,-,+,Growth Funded by Debt
CANBK,202403,+,-,-,Shareholder Returns
CHOLAFIN,201303,-,+,+,Distress Signal
CHOLAFIN,201403,-,-,+,Growth Funded by Debt
CHOLAFIN,201503,-,-,+,Growth Funded by Debt
CHOLAFIN,201603,-,-,+,Growth Funded by Debt
CHOLAFIN,201703,-,-,+,Growth Funded by Debt
CHOLAFIN,201803,-,-,+,Growth Funded by Debt
CHOLAFIN,201903,-,-,+,Growth Funded by Debt
CHOLAFIN,202003,-,-,+,Growth Funded by Debt
CHOLAFIN,202103,-,-,+,Growth Funded by Debt
CHOLAFIN,202203,-,+,+,Distress Signal
CHOLAFIN,202303,-,-,+,Growth Funded by Debt
CHOLAFIN,202403,-,-,+,Growth Funded by Debt
CIPLA,201303,+,-,+,Mixed
CIPLA,201403,+,-,-,Shareholder Returns
CIPLA,201503,+,-,+,Mixed
CIPLA,201603,+,-,+,Mixed
CIPLA,201703,+,-,-,Shareholder Returns
CIPLA,201803,+,-,-,Shareholder Returns
CIPLA,201903,+,-,-,Shareholder Returns
CIPLA,202003,+,+,-,Liquidating Assets
CIPLA,202103,+,-,-,Shareholder Returns
CIPLA,202203,+,-,-,Shareholder Returns
CIPLA,202303,+,-,-,Shareholder Returns
CIPLA,202403,+,-,-,Shareholder Returns
COALINDIA,201303,+,-,-,Shareholder Returns
COALINDIA,201403,+,+,-,Liquidating Assets
COALINDIA,201503,+,+,-,Liquidating Assets
COALINDIA,201603,+,+,-,Liquidating Assets
COALINDIA,201703,+,+,-,Liquidating Assets
COALINDIA,201803,+,-,-,Shareholder Returns
COALINDIA,201903,+,-,-,Shareholder Returns
COALINDIA,202003,+,+,-,Liquidating Assets
COALINDIA,202103,+,+,-,Liquidating Assets
COALINDIA,202203,+,-,-,Shareholder Returns
COALINDIA,202303,+,-,-,Shareholder Returns
COALINDIA,202403,+,-,-,Shareholder Returns
DABUR,201303,+,-,-,Shareholder Returns
DABUR,201403,+,-,-,Shareholder Returns
DABUR,201503,+,-,-,Shareholder Returns
DABUR,201603,+,-,-,Shareholder Returns
DABUR,201703,+,-,-,Shareholder Returns
DABUR,201803,+,-,-,Shareholder Returns
DABUR,201903,+,+,-,Liquidating Assets
DABUR,202003,+,-,-,Shareholder Returns
DABUR,202103,+,-,-,Shareholder Returns
DABUR,202203,+,-,-,Shareholder Returns
DABUR,202303,+,-,-,Shareholder Returns
DABUR,202403,+,-,-,Shareholder Returns
DIVISLAB,201303,+,-,-,Reinvestor
DIVISLAB,201403,+,-,-,Reinvestor
DIVISLAB,201503,+,-,-,Reinvestor
DIVISLAB,201603,+,-,-,Reinvestor
DIVISLAB,201703,+,-,+,Mixed
DIVISLAB,201803,+,-,-,Reinvestor
DIVISLAB,201903,+,-,-,Reinvestor
DIVISLAB,202003,+,-,-,Reinvestor
DIVISLAB,202103,+,+,-,Liquidating Assets
DIVISLAB,202203,+,-,-,Reinvestor
DIVISLAB,202303,+,-,-,Reinvestor
DIVISLAB,202403,+,-,-,Reinvestor
DLF,201303,+,+,-,Liquidating Assets
DLF,201403,+,+,-,Liquidating Assets
DLF,201503,+,+,-,Liquidating Assets
DLF,201603,+,-,-,Reinvestor
DLF,201703,-,+,+,Distress Signal
DLF,201803,+,-,-,Reinvestor
DLF,201903,+,+,+,Cash Accumulator
DLF,202003,+,+,-,Liquidating Assets
DLF,202103,+,+,-,Liquidating Assets
DLF,202203,+,+,-,Liquidating Assets
DLF,202303,+,-,-,Reinvestor
DLF,202403,+,-,+,Mixed
DMART,201303,+,-,+,Mixed
DMART,201403,+,-,+,Mixed
DMART,201503,+,-,+,Mixed
DMART,201603,+,-,+,Mixed
DMART,201703,+,-,+,Mixed
DMART,201803,+,+,-,Liquidating Assets
DMART,201903,+,-,+,Mixed
DMART,202003,+,-,+,Mixed
DMART,202103,+,-,-,Shareholder Returns
DMART,202203,+,-,-,Shareholder Returns
DMART,202303,+,-,-,Shareholder Returns
DMART,202403,+,-,-,Shareholder Returns
DRREDDY,201303,+,-,-,Shareholder Returns
DRREDDY,201403,+,-,-,Shareholder Returns
DRREDDY,201503,+,-,-,Shareholder Returns
DRREDDY,201603,+,-,-,Shareholder Returns
DRREDDY,201703,+,-,-,Shareholder Returns
DRREDDY,201803,+,-,-,Shareholder Returns
DRREDDY,201903,+,-,-,Shareholder Returns
DRREDDY,202003,+,-,-,Shareholder Returns
DRREDDY,202103,+,-,-,Shareholder Returns
DRREDDY,202203,+,-,-,Shareholder Returns
DRREDDY,202303,+,-,-,Shareholder Returns
DRREDDY,202403,+,-,-,Shareholder Returns
EICHERMOT,201212,+,-,-,Reinvestor
EICHERMOT,201312,+,-,-,Reinvestor
EICHERMOT,201412,+,-,-,Reinvestor
EICHERMOT,201603,+,-,-,Reinvestor
EICHERMOT,201703,+,-,+,Mixed
EICHERMOT,201803,+,-,-,Reinvestor
EICHERMOT,201903,+,-,-,Reinvestor
EICHERMOT,202003,+,-,-,Reinvestor
EICHERMOT,202103,+,-,-,Reinvestor
EICHERMOT,202203,+,-,-,Reinvestor
EICHERMOT,202303,+,-,-,Reinvestor
EICHERMOT,202403,+,-,-,Reinvestor
GAIL,201303,+,-,+,Mixed
GAIL,201403,+,-,-,Reinvestor
GAIL,201503,+,-,-,Reinvestor
GAIL,201603,+,-,-,Reinvestor
GAIL,201703,+,-,-,Reinvestor
GAIL,201803,+,-,-,Reinvestor
GAIL,201903,+,-,-,Reinvestor
GAIL,202003,+,-,+,Mixed
GAIL,202103,+,-,-,Reinvestor
GAIL,202203,+,-,-,Reinvestor
